Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sexual orientation,Cisgender and transgender,Gender,Lgbtq+,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65798164b737aab04494d793,60370f61a9417ca17becbb91,APPROVED,2023-12-13T10:03:58.620000Z,2023-12-13T10:25:21.109000Z,2023-12-21T11:14:06.384000Z,2023-12-13T10:25:21.879705Z,1283.0,NOCODE,39,bisexual,No,Woman (including Trans Female/Trans Woman),Yes,23,Female,Asian,Ireland,Ireland,Ireland,English,No,Full-Time
657983af20ffb538d3101405,65522d468dbf46efb1da11ad,APPROVED,2023-12-13T10:14:38.491000Z,2023-12-13T10:59:50.859000Z,2023-12-21T11:46:06.574000Z,2023-12-13T10:59:51.616884Z,2713.0,NOCODE,42,homosexual,Rather not say,Woman (including Trans Female/Trans Woman),Yes,39,Female,Mixed,Australia,Australia,Australia,English,No,Full-Time
65798608e59c92d37428ed9e,63af557b3d4f219c3226b7d6,APPROVED,2023-12-13T10:23:15.858000Z,2023-12-13T10:42:33.518000Z,2023-12-21T11:25:05.578000Z,2023-12-13T10:42:33.974074Z,1158.0,NOCODE,933,homosexual,No,Woman (including Trans Female/Trans Woman),Yes,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6579890b83c66de41bc21e8c,640103805957bbf6a1326ed0,APPROVED,2023-12-13T10:36:04.248000Z,2023-12-13T10:55:54.444000Z,2023-12-21T11:28:31.881000Z,2023-12-13T10:55:55.707817Z,1191.0,NOCODE,983,homosexual,No,Man (including Trans Male/Trans Man),Yes,37,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65798f2720ea6e306bcd6d43,6130c7f7d0112fa23b17079c,APPROVED,2023-12-13T11:02:14.854000Z,2023-12-13T11:37:52.948000Z,2023-12-21T11:21:15.467000Z,2023-12-13T11:37:53.401881Z,2139.0,NOCODE,1390,bisexual,No,Woman (including Trans Female/Trans Woman),Yes,24,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
657992be3252056c0778eda8,6153963f97c84ce267a3d5fc,APPROVED,2023-12-13T11:17:56.014000Z,2023-12-13T11:43:28.701000Z,2023-12-21T11:22:24.109000Z,2023-12-13T11:43:29.787094Z,1533.0,NOCODE,924,bisexual,Yes,Non-binary (would like to give more detail),Yes,42,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
657071efdafc3991d4f22d51,605f1eea7eb8742db822d63e,RETURNED,2023-12-06T13:07:46.568000Z,,,,,,80,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570830f8b25e8ab178d64b7,652985d179fb620c91ac14a1,APPROVED,2023-12-06T14:19:59.073000Z,2023-12-06T15:25:23.611000Z,2023-12-21T11:46:51.302000Z,2023-12-06T15:25:24.816000Z,3925.0,NOCODE,132,bisexual,No,Man (including Trans Male/Trans Man),Yes,19,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
6570a178a035acb176d662c8,60f9739250a5c6f6e4726336,RETURNED,2023-12-06T16:29:44.866000Z,,,,,,73,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6578751900087a8a0e3ad392,5dc2d4377624401eb1894bcd,RETURNED,2023-12-12T14:58:40.553000Z,,,,,,1347,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657877060e1986730bf5fa8a,604e7009ec21c0e9b6990c6f,RETURNED,2023-12-12T15:16:46.123000Z,,,,,,1009,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
