Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sexual orientation,Cisgender and transgender,Gender,Lgbtq+,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
657075c3f4750c58dffb634d,29,APPROVED,2023-12-06T13:23:15.089000Z,2023-12-06T13:55:00.813000Z,2023-12-21T10:48:59.615000Z,2023-12-06T13:55:01.270233Z,1906,NOCODE,215,homosexual,No,Man (including Trans Male/Trans Man),Yes,34,Male,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
65707a317a673e89b3a22bcf,30,APPROVED,2023-12-06T13:42:36.766000Z,2023-12-06T14:13:13.050000Z,2023-12-21T11:33:26.637000Z,2023-12-06T14:13:13.593731Z,1837,NOCODE,76,homosexual,No,Man (including Trans Male/Trans Man),Yes,33,Male,Mixed,Denmark,Denmark,Sweden,Danish,Yes,Full-Time
65707bae324aed2935064c5c,31,APPROVED,2023-12-06T13:56:45.505000Z,2023-12-06T15:19:17.456000Z,2023-12-21T10:37:39.424000Z,2023-12-06T15:19:18.009227Z,4952,NOCODE,691,bisexual,No,Man (including Trans Male/Trans Man),Yes,28,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
65707f5b9e2cceaf51908b45,32,APPROVED,2023-12-06T14:04:16.281000Z,2023-12-06T14:43:18.468000Z,2023-12-21T11:00:04.279000Z,2023-12-06T14:43:19.031365Z,2343,NOCODE,1082,homosexual,No,Woman (including Trans Female/Trans Woman),Yes,25,Female,White,Italy,Italy,Italy,Italian,Yes,Other
657089cd0ea1570ee71e629d,33,APPROVED,2023-12-06T14:49:25.736000Z,2023-12-06T15:16:12.368000Z,2023-12-21T11:18:14.815000Z,2023-12-06T15:16:12.788484Z,1607,NOCODE,152,bisexual,No,Woman (including Trans Female/Trans Woman),Yes,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65708c700fb1e142334227aa,34,APPROVED,2023-12-06T15:00:15.984000Z,2023-12-06T15:16:08.990000Z,2023-12-21T10:55:15.364000Z,2023-12-06T15:16:09.481213Z,954,NOCODE,728,bisexual,No,Man (including Trans Male/Trans Man),Yes,31,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
657093e427b3159f872858ef,35,APPROVED,2023-12-06T15:31:48.619000Z,2023-12-06T16:13:55.398000Z,2023-12-21T11:34:59.596000Z,2023-12-06T16:13:55.948241Z,2527,NOCODE,92,bisexual,No,Man (including Trans Male/Trans Man),Yes,21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
657096228ecf605977c79f56,36,APPROVED,2023-12-06T15:41:29.536000Z,2023-12-06T15:56:36.128000Z,2023-12-21T10:52:48.232000Z,2023-12-06T15:56:36.646060Z,907,NOCODE,667,bisexual,No,Woman (including Trans Female/Trans Woman),Yes,26,Female,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
657099c7db807b80f527a49e,37,APPROVED,2023-12-06T15:57:16.797000Z,2023-12-06T16:17:28.549000Z,2023-12-21T11:02:09.448000Z,2023-12-06T16:17:29.055450Z,1212,NOCODE,2934,homosexual,No,Man (including Trans Male/Trans Man),Yes,29,Male,White,Hungary,Hungary,Hungary,English,Yes,Full-Time
65709b83bbdf92a3c4572a76,38,APPROVED,2023-12-06T16:04:26.756000Z,2023-12-06T17:05:08.628000Z,2023-12-21T11:15:49.039000Z,2023-12-06T17:05:09.129892Z,3642,NOCODE,350,bisexual,No,Woman (including Trans Female/Trans Woman),Yes,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
