Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sexual orientation,Cisgender and transgender,Gender,Lgbtq+,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65670f63eb609084170d73be,80,APPROVED,2023-11-29T10:21:26.096000Z,2023-11-29T10:50:52.844000Z,2023-12-07T16:22:10.806000Z,2023-11-29T10:50:54.447340Z,1767,NOCODE,279,heterosexual,No,Man (including Trans Male/Trans Man),No,25,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
65688c0d7853fa822965789c,81,APPROVED,2023-11-30T13:20:13.182000Z,2023-11-30T13:53:10.809000Z,2023-12-07T16:26:29.145000Z,2023-11-30T13:53:11.524017Z,1978,NOCODE,382,heterosexual,No,Man (including Trans Male/Trans Man),No,29,Male,White,Turkey,Poland,Turkey,Turkish,No,Full-Time
655b8f167dafc71a2b38042b,82,RETURNED,2023-11-20T16:53:42.499000Z,,,,,,503,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655b8f24a265dbb770c8a0a6,83,REJECTED,2023-11-20T16:54:32.524000Z,2023-11-20T17:37:51.639000Z,2023-11-29T10:12:49.103000Z,2023-11-20T17:37:52.417000Z,2600,NOCODE,191,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655b956d6386a51d5fc7456b,84,RETURNED,2023-11-20T17:20:45.776000Z,,,,,,479,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655b9e2c73907f3fea1b87c3,85,RETURNED,2023-11-20T17:58:23.697000Z,,,,,,1140,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655b9e69254d22dcbb3db8b8,86,RETURNED,2023-11-20T18:08:10.065000Z,,,,,,455,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655ba39219c9d597dc8db20f,87,REJECTED,2023-11-20T18:22:08.930000Z,2023-11-20T18:55:15.079000Z,2023-11-30T10:31:59.809000Z,2023-11-20T18:55:15.950000Z,1987,NOCODE,165,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655baadb737fb303d92b0b4b,88,RETURNED,2023-11-20T19:03:00.068000Z,,,,,,359,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655babae29ef5db46b4cd995,89,TIMED-OUT,2023-11-20T18:55:42.650000Z,,,,4817327,,564,DATA_EXPIRED,No,Man (including Trans Male/Trans Man),No,22,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Other
65670f36092a12ab8bacca6d,90,RETURNED,2023-11-29T10:25:18.586000Z,,,,,,119,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
