Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sexual orientation,Cisgender and transgender,Gender,Lgbtq+,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
654926936111646a9fb4d260,17,APPROVED,2023-11-06T17:46:59.439000Z,2023-11-06T17:59:24.086000Z,2023-11-20T15:16:29.919000Z,2023-11-06T17:59:24.705065Z,745,NOCODE,254,bisexual,Yes,Non-binary (would like to give more detail),Yes,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
654926d241a08245d078c84a,18,APPROVED,2023-11-06T17:48:08.242000Z,2023-11-06T18:11:29.890000Z,2023-11-20T15:55:06.127000Z,2023-11-06T18:11:30.378012Z,1402,NOCODE,476,bisexual,Yes,Non-binary (would like to give more detail),Yes,24,Female,Mixed,Netherlands,Portugal,Portugal,Portuguese,Yes,Full-Time
654926f2617f8c1b75f75e59,19,APPROVED,2023-11-06T17:48:34.254000Z,2023-11-06T18:28:44.878000Z,2023-11-20T15:31:21.590000Z,2023-11-06T18:28:45.381869Z,2411,NOCODE,173,heterosexual,Yes,Woman (including Trans Female/Trans Woman),Yes,26,Female,White,Poland,Poland,Poland,Polish,No,Part-Time
65492705d46d37728bde3bf9,20,APPROVED,2023-11-06T17:48:53.906000Z,2023-11-06T18:22:28.428000Z,2023-11-20T16:00:15.816000Z,2023-11-06T18:22:28.919392Z,2015,NOCODE,45,asexual,Yes,Woman (including Trans Female/Trans Woman),Yes,21,Male,White,South Africa,New Zealand,South Africa,Afrikaans,No,Unemployed (and job seeking)
6549275674e8402b2416501e,21,APPROVED,2023-11-06T17:50:14.966000Z,2023-11-06T18:08:34.636000Z,2023-11-20T15:41:28.558000Z,2023-11-06T18:08:35.151179Z,1100,NOCODE,338,bisexual,Yes,Man (including Trans Male/Trans Man),Yes,21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
6549279147a25f44b206e1c2,22,APPROVED,2023-11-06T17:51:42.680000Z,2023-11-06T18:08:13.135000Z,2023-11-20T16:02:05.715000Z,2023-11-06T18:08:13.691034Z,991,NOCODE,580,homosexual,Yes,Woman (including Trans Female/Trans Woman),Yes,24,Male,Mixed,United States,Chile,United States,Spanish,Yes,Part-Time
6549279350750403169ea952,23,APPROVED,2023-11-06T17:51:33.602000Z,2023-11-06T18:25:12.603000Z,2023-11-20T15:38:31.209000Z,2023-11-06T18:25:13.116373Z,2020,NOCODE,203,bisexual,Yes,Woman (including Trans Female/Trans Woman),Yes,21,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
654927bb8f493f9831f81a85,24,APPROVED,2023-11-06T17:51:55.527000Z,2023-11-06T18:21:13.375000Z,2023-11-20T15:24:13.436000Z,2023-11-06T18:21:13.885799Z,1758,NOCODE,129,bisexual,Yes,Woman (including Trans Female/Trans Woman),Yes,23,Male,White,Poland,Poland,Poland,Polish,Yes,Other
654927d8bf070a5a4f186275,25,APPROVED,2023-11-06T17:52:24.738000Z,2023-11-06T18:49:09.896000Z,2023-11-20T15:57:23.374000Z,2023-11-06T18:49:10.605207Z,3406,NOCODE,284,bisexual,Yes,Non-binary (would like to give more detail),Yes,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
6549280a84d981f1f95982d1,26,APPROVED,2023-11-06T17:53:14.381000Z,2023-11-06T18:46:29.572000Z,2023-11-20T16:03:56.438000Z,2023-11-06T18:46:30.125153Z,3196,NOCODE,176,other,Yes,Man (including Trans Male/Trans Man),Yes,33,Female,Other,Iraq,Portugal,Iraq,Portuguese,No,Unemployed (and job seeking)
652696387668c1c340093ee8,27,APPROVED,2023-10-11T12:37:43.386000Z,2023-10-11T13:02:32.448000Z,2023-11-01T00:00:16.873000Z,2023-10-11T13:02:33.206152Z,1490,NOCODE,432,bisexual,Yes,Man (including Trans Male/Trans Man),Yes,26,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
652696ac6ceb969b1e03582f,28,APPROVED,2023-10-11T12:36:02.529000Z,2023-10-11T12:58:36.486000Z,2023-11-01T00:00:17.264000Z,2023-10-11T12:58:36.973634Z,1354,NOCODE,204,other,Yes,Woman (including Trans Female/Trans Woman),Yes,43,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,No,Full-Time
